folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.046875,-0.7972843755974282,<puncta_detect_util.Puncta object at 0x7f75091cc310>,0.255859,0.814453,0.046875,0.046875,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091cc150>,True,356.7583944764642,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0703125,48.60076408214218,<puncta_detect_util.Puncta object at 0x7f75091ccf50>,0.427734,0.500977,0.0703125,0.0683594,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509151710>,True,294.5817564687504,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0419922,78.27464317286513,<puncta_detect_util.Puncta object at 0x7f75091cce90>,0.62793,0.30127,0.0410156,0.0419922,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509151dd0>,True,505.3350996015938,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0410156,240.187249177397,<puncta_detect_util.Puncta object at 0x7f75091dc190>,0.630859,0.549805,0.0390625,0.0410156,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f75091cc5d0>,True,22192.450154031456,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0585938,43.001728719388666,<puncta_detect_util.Puncta object at 0x7f75091cc4d0>,0.787109,0.40918,0.0585938,0.0585938,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f754df91dd0>,True,297.37858818758514,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0566406,43.844455280021975,<puncta_detect_util.Puncta object at 0x7f75091cc0d0>,0.0263672,0.900391,0.0527344,0.0566406,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509187350>,True,300.7768673380774,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0576172,48.17160362391405,<puncta_detect_util.Puncta object at 0x7f7509151c50>,0.0805664,0.208496,0.0537109,0.0576172,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509187990>,True,373.3431784500481,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0527344,82.87108873753823,<puncta_detect_util.Puncta object at 0x7f7509151410>,0.65918,0.144043,0.0527344,0.0517578,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509187310>,True,440.90262775397787,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0527344,25.787106988359938,<puncta_detect_util.Puncta object at 0x7f75091cc510>,0.973633,0.829102,0.0507812,0.0527344,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509151a90>,True,336.46159417228455,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.0644531,42.37794509141668,<puncta_detect_util.Puncta object at 0x7f7509187250>,0.0703125,0.267578,0.0625,0.0644531,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509187b90>,True,234.00908967665555,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.0527344,5.190811119317459,<puncta_detect_util.Puncta object at 0x7f7509184950>,0.30957,0.729492,0.0527344,0.0527344,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509187910>,True,342.7110592804038,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.046875,2.0596522150904093,<puncta_detect_util.Puncta object at 0x7f75091842d0>,0.490234,0.255859,0.046875,0.046875,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509151f90>,True,282.1549005395559,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.0400391,104.62505696058315,<puncta_detect_util.Puncta object at 0x7f7509187b50>,0.614746,0.748047,0.0400391,0.0390625,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091878d0>,True,420.78228905476954,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.0488281,0.017411865864232823,<puncta_detect_util.Puncta object at 0x7f7509184bd0>,0.788086,0.256836,0.046875,0.0488281,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509151810>,True,413.9401836969,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.0605469,40.37991365976313,<puncta_detect_util.Puncta object at 0x7f75091844d0>,0.946777,0.842773,0.0595703,0.0605469,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509187090>,True,389.99512604533356,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 16.nd2-output,(series 1).tif,1024,False,0,0,0.0566406,25.989350021959126,<puncta_detect_util.Puncta object at 0x7f75091ff290>,0.0751953,0.0463867,0.0566406,0.0556641,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509184290>,True,310.10097065440596,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 16.nd2-output,(series 1).tif,1024,False,0,0,0.0449219,39.292843946189805,<puncta_detect_util.Puncta object at 0x7f75091ff810>,0.12793,0.773438,0.0449219,0.0429688,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509187890>,True,498.26023588553744,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 16.nd2-output,(series 1).tif,1024,False,0,0,0.0488281,42.84035004730367,<puncta_detect_util.Puncta object at 0x7f7509187c90>,0.624023,0.868164,0.0488281,0.0488281,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509184ed0>,True,613.5561920729433,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 16.nd2-output,(series 1).tif,1024,False,0,0,0.0419922,51.929167141392554,<puncta_detect_util.Puncta object at 0x7f7509187050>,0.959473,0.833008,0.0419922,0.0410156,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091841d0>,True,588.4906138274191,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 9.nd2-output,(series 1).tif,1024,False,0,0,0.0527344,33.89373399388569,<puncta_detect_util.Puncta object at 0x7f75091ff9d0>,0.329102,0.967773,0.0527344,0.0527344,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091e6250>,True,349.8600266964886,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 9.nd2-output,(series 1).tif,1024,False,0,0,0.0625,95.70120389344265,<puncta_detect_util.Puncta object at 0x7f7509187610>,0.588379,0.669922,0.0615234,0.0625,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509184f90>,True,300.1525151037563,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 9.nd2-output,(series 1).tif,1024,False,0,0,0.0644531,1.2289919924633068,<puncta_detect_util.Puncta object at 0x7f75091ffe10>,0.643555,0.115234,0.0644531,0.0644531,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091ccb90>,True,252.7316450360513,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 9.nd2-output,(series 1).tif,1024,False,0,0,0.0458984,2.3494188738095545,<puncta_detect_util.Puncta object at 0x7f7509187bd0>,0.662598,0.622559,0.0458984,0.0458984,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509184a50>,True,324.29991667279364,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 9.nd2-output,(series 1).tif,1024,False,0,0,0.0517578,36.01433350835532,<puncta_detect_util.Puncta object at 0x7f75091873d0>,0.674316,0.810547,0.0517578,0.0507812,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091cc7d0>,True,318.53986246483737,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 9.nd2-output,(series 1).tif,1024,False,0,0,0.0458984,59.86352070321527,<puncta_detect_util.Puncta object at 0x7f7509151050>,0.716309,0.963867,0.0458984,0.0449219,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091516d0>,True,287.7898558156371,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 9.nd2-output,(series 1).tif,1024,False,0,0,0.0644531,21.76435156086336,<puncta_detect_util.Puncta object at 0x7f7509184fd0>,0.743164,0.920898,0.0605469,0.0644531,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091ccf90>,True,283.9126697319416,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 14.nd2-output,(series 1).tif,1024,False,0,0,0.0615234,16.54913784845303,<puncta_detect_util.Puncta object at 0x7f750918ad90>,0.218262,0.696289,0.0615234,0.0605469,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091c53d0>,True,333.4550632124351,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 14.nd2-output,(series 1).tif,1024,False,0,0,0.0517578,3.319975103782781,<puncta_detect_util.Puncta object at 0x7f750918a1d0>,0.372559,0.100098,0.0517578,0.0517578,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091c56d0>,True,476.53325971666027,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 14.nd2-output,(series 1).tif,1024,False,0,0,0.0419922,22.91780433252643,<puncta_detect_util.Puncta object at 0x7f750918a210>,0.410645,0.192871,0.0419922,0.0419922,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509187a50>,True,432.3194742578539,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 14.nd2-output,(series 1).tif,1024,False,0,0,0.0449219,23.711728395061982,<puncta_detect_util.Puncta object at 0x7f7509187b10>,0.446289,0.511719,0.0449219,0.0429688,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091c5a50>,True,429.2759551562244,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 14.nd2-output,(series 1).tif,1024,False,0,0,0.0371094,-4.351344909772251,<puncta_detect_util.Puncta object at 0x7f750918ac90>,0.553711,0.554688,0.0371094,0.0351562,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091876d0>,True,568.1736037987403,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 14.nd2-output,(series 1).tif,1024,False,0,0,0.0566406,-8.545262740289218,<puncta_detect_util.Puncta object at 0x7f750918af10>,0.612305,0.579102,0.0566406,0.0566406,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509187650>,True,544.7506610909313,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 14.nd2-output,(series 1).tif,1024,False,0,0,0.0527344,20.743504528335507,<puncta_detect_util.Puncta object at 0x7f750918a110>,0.813477,0.969727,0.0527344,0.0527344,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509187490>,True,530.9954641052204,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 14.nd2-output,(series 1).tif,1024,False,0,0,0.0449219,66.66523834692407,<puncta_detect_util.Puncta object at 0x7f750918aad0>,0.850586,0.17627,0.0449219,0.0439453,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091cca50>,True,631.3656295315554,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 24.nd2-output,(series 1).tif,1024,False,0,0,0.0517578,57.751036682615904,<puncta_detect_util.Puncta object at 0x7f75091cc250>,0.0439453,0.729004,0.0507812,0.0517578,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509187590>,True,265.88716114790304,,,,True
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I/Captured 24.nd2-output,(series 1).tif,1024,False,0,0,0.0507812,122.71801489681366,<puncta_detect_util.Puncta object at 0x7f7509187550>,0.617188,0.243652,0.0507812,0.0498047,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509151850>,True,387.95570931407747,,,,True
